path	kind	lines	layer	round	status
.dockerignore	text	105	L3	R11	R1-inventoried
.env.example	text	496	L3	R11	R1-inventoried
.envrc	text	5	L3	R11	R1-inventoried
.gitattributes	text	10	L3	R11	R1-inventoried
.github/ISSUE_TEMPLATE/bug_report.yml	text	162	L2	R11	R1-inventoried
.github/ISSUE_TEMPLATE/config.yml	text	11	L2	R11	R1-inventoried
.github/ISSUE_TEMPLATE/feature_request.yml	text	85	L2	R11	R1-inventoried
.github/ISSUE_TEMPLATE/setup_help.yml	text	112	L2	R11	R1-inventoried
.github/PULL_REQUEST_TEMPLATE.md	text	75	L2	R11	R1-inventoried
.github/actions/detect-changes/action.yml	text	111	L2	R11	R1-inventoried
.github/actions/get-app-token/action.yml	text	69	L2	R11	R1-inventoried
.github/actions/nix-setup/action.yml	text	18	L2	R11	R1-inventoried
.github/actions/retry/action.yml	text	70	L2	R11	R1-inventoried
.github/dependabot.yml	text	44	L2	R11	R1-inventoried
.github/pr-screenshots/39327/providers-collapsed.png	binary	0	L4	-	R1-inventoried
.github/pr-screenshots/39327/providers-expanded.png	binary	0	L4	-	R1-inventoried
.github/pr-screenshots/39327/tools-collapsed.png	binary	0	L4	-	R1-inventoried
.github/pr-screenshots/39327/tools-expanded.png	binary	0	L4	-	R1-inventoried
.github/pr-screenshots/45449/billing-confirm.png	binary	0	L4	-	R1-inventoried
.github/pr-screenshots/45449/billing-overview.png	binary	0	L4	-	R1-inventoried
.github/pr-screenshots/telegram-overflow/topic-final-response-clipped.jpg	binary	0	L4	-	R1-inventoried
.github/workflows/ci.yml	text	390	L2	R11	R1-inventoried
.github/workflows/contributor-check.yml	text	108	L2	R11	R1-inventoried
.github/workflows/deploy-site.yml	text	199	L2	R11	R1-inventoried
.github/workflows/docker-lint.yml	text	55	L2	R11	R1-inventoried
.github/workflows/docker.yml	text	289	L2	R11	R1-inventoried
.github/workflows/docs-site-checks.yml	text	53	L2	R11	R1-inventoried
.github/workflows/e2e-desktop.yml	text	281	L2	R11	R1-inventoried
.github/workflows/history-check.yml	text	81	L2	R11	R1-inventoried
.github/workflows/infographic-check.yml	text	78	L2	R11	R1-inventoried
.github/workflows/install-e2e-run.yml	text	122	L2	R11	R1-inventoried
.github/workflows/install-e2e.yml	text	110	L2	R11	R1-inventoried
.github/workflows/installer-tests.yml	text	38	L2	R11	R1-inventoried
.github/workflows/js-autofix.yml	text	263	L2	R11	R1-inventoried
.github/workflows/js-tests.yml	text	79	L2	R11	R1-inventoried
.github/workflows/label-rerun.yml	text	81	L2	R11	R1-inventoried
.github/workflows/lint.yml	text	180	L2	R11	R1-inventoried
.github/workflows/lockfile-diff.yml	text	107	L2	R11	R1-inventoried
.github/workflows/osv-scanner.yml	text	141	L2	R11	R1-inventoried
.github/workflows/publish-e2e-evidence.yml	text	71	L2	R11	R1-inventoried
.github/workflows/review-labels.yml	text	123	L2	R11	R1-inventoried
.github/workflows/skills-index-freshness.yml	text	159	L2	R11	R1-inventoried
.github/workflows/skills-index.yml	text	75	L2	R11	R1-inventoried
.github/workflows/supply-chain-audit.yml	text	308	L2	R11	R1-inventoried
.github/workflows/tests.yml	text	251	L2	R11	R1-inventoried
.github/workflows/uv-lockfile-check.yml	text	150	L2	R11	R1-inventoried
.gitignore	text	199	L3	R11	R1-inventoried
.hadolint.yaml	text	36	L3	R11	R1-inventoried
.mailmap	text	108	L4	-	R1-inventoried
.npmrc	text	51	L3	R11	R1-inventoried
.nvmrc	text	1	L3	R11	R1-inventoried
.plans/message-reactions.md	text	146	L3	R11	R1-inventoried
.plans/openai-api-server.md	text	291	L3	R11	R1-inventoried
.plans/streaming-support.md	text	705	L3	R11	R1-inventoried
.prettierignore	text	4	L3	R11	R1-inventoried
.prettierrc	text	11	L3	R11	R1-inventoried
.python-version	text	1	L3	R11	R1-inventoried
AGENTS.md	text	1435	L3	R1	R1-inventoried
CONTRIBUTING.es.md	text	602	L3	R1	R1-inventoried
CONTRIBUTING.md	text	1009	L3	R1	R1-inventoried
Dockerfile	text	457	L3	R11	R1-inventoried
LICENSE	text	21	L3	R11	R1-inventoried
README.es.md	text	220	L3	R1	R1-inventoried
README.md	text	264	L3	R1	R1-inventoried
README.ur-pk.md	text	261	L3	R1	R1-inventoried
README.zh-CN.md	text	208	L3	R1	R1-inventoried
SECURITY.es.md	text	326	L3	R1	R1-inventoried
SECURITY.md	text	335	L3	R1	R1-inventoried
acp_adapter/__init__.py	text	1	L2	R10	R1-inventoried
acp_adapter/__main__.py	text	5	L2	R10	R1-inventoried
acp_adapter/auth.py	text	79	L2	R10	R1-inventoried
acp_adapter/edit_approval.py	text	338	L2	R10	R1-inventoried
acp_adapter/entry.py	text	280	L2	R10	R1-inventoried
acp_adapter/events.py	text	279	L2	R10	R1-inventoried
acp_adapter/permissions.py	text	182	L2	R10	R1-inventoried
acp_adapter/provenance.py	text	127	L2	R10	R1-inventoried
acp_adapter/server.py	text	2510	L2	R10	R1-inventoried
acp_adapter/session.py	text	683	L2	R10	R1-inventoried
acp_adapter/tools.py	text	1347	L2	R10	R1-inventoried
agent/__init__.py	text	8	L1	R3-R7	R1-inventoried
agent/account_usage.py	text	902	L1	R2	R2-deep-read
agent/agent_init.py	text	2806	L1	R2	R2-deep-read
agent/agent_runtime_helpers.py	text	4067	L1	R2	R2-deep-read
agent/anthropic_adapter.py	text	3177	L1	R2	R2-deep-read
agent/async_utils.py	text	84	L1	R2	R2-deep-read
agent/aux_accounting.py	text	138	L1	R3-R7	R1-inventoried
agent/auxiliary_client.py	text	9976	L1	R2	R2-deep-read
agent/azure_identity_adapter.py	text	571	L1	R2	R2-deep-read
agent/backend_identity.py	text	204	L1	R2	R2-deep-read
agent/background_review.py	text	1081	L1	R3-R7	R1-inventoried
