slice	title	files	lines	l3_files	l3_lines
A	聊天输入区:composer、右栏与会话瓦片	84	18804	0	0
B	会话列表、切换与会话视图	55	18761	0	0
C	设置面、计费与 profile/网关设置	77	19070	0	0
D	状态层:store、hooks、sdk 与内核接驳	97	19637	0	0
E	运行时库、主题、调试与类型面	126	20540	0	0
F	消息渲染:assistant-ui、聊天组件与右侧栏	124	21029	0	0
G	窗格外壳、通用 UI 原语与应用 shell	100	17544	0	0
H	能力面板:插件、技能、贡献、星图与命令面板	66	20165	0	0
I	apps/desktop 的 i18n 语言包(全部 13 个 L3 文件,单独成片以取 L3 单位成本)	13	17378	13	17378
J	桌面外壳其余:覆盖层、小组件、宠物、cron/消息/webhook 面板与样式	86	18766	0	0
K	构建、打包、安装器与端到端测试	149	22551	0	0
