path	lines
nix/checks.nix	582
nix/configMergeScript.nix	33
nix/desktop.nix	196
nix/devShell.nix	64
nix/hermes-agent.nix	270
nix/lib.nix	351
nix/nixosModules.nix	1008
nix/node-gyp-11-4-0-package-lock.json	5246
nix/node-gyp-11-4-0.nix	40
nix/npm-12-0-2.nix	29
nix/overlays.nix	14
nix/packages.nix	75
nix/python.nix	157
nix/sandbox.nix	124
nix/tui.nix	29
nix/web.nix	33
scripts/build_model_catalog.py	118
scripts/build_skills_index.py	459
scripts/dev-sandbox.sh	591
scripts/docker_config_migrate.py	110
scripts/docker_rebootstrap_nous_session.py	227
scripts/generate_conformance_vectors.py	266
scripts/hermes-gateway	416
scripts/install.cmd	28
scripts/install.ps1	4262
scripts/install.sh	3370
scripts/install_psutil_android.py	102
scripts/lib/node-bootstrap.sh	437
scripts/release.py	2637
scripts/tests/test-install-ps1-gitbash-compatibility.ps1	120
scripts/tests/test-install-ps1-longpath.ps1	323
scripts/tests/test-install-ps1-stage-protocol.ps1	134
