path	lines
.github/ISSUE_TEMPLATE/bug_report.yml	162
.github/ISSUE_TEMPLATE/config.yml	11
.github/ISSUE_TEMPLATE/feature_request.yml	85
.github/ISSUE_TEMPLATE/setup_help.yml	112
.github/PULL_REQUEST_TEMPLATE.md	75
.github/actions/detect-changes/action.yml	111
.github/actions/get-app-token/action.yml	69
.github/actions/nix-setup/action.yml	18
.github/actions/retry/action.yml	70
.github/dependabot.yml	44
.github/workflows/ci.yml	390
.github/workflows/contributor-check.yml	108
.github/workflows/deploy-site.yml	199
.github/workflows/docker-lint.yml	55
.github/workflows/docker.yml	289
.github/workflows/docs-site-checks.yml	53
.github/workflows/e2e-desktop.yml	281
.github/workflows/history-check.yml	81
.github/workflows/infographic-check.yml	78
.github/workflows/install-e2e-run.yml	122
.github/workflows/install-e2e.yml	110
.github/workflows/installer-tests.yml	38
.github/workflows/js-autofix.yml	263
.github/workflows/js-tests.yml	79
.github/workflows/label-rerun.yml	81
.github/workflows/lint.yml	180
.github/workflows/lockfile-diff.yml	107
.github/workflows/osv-scanner.yml	141
.github/workflows/publish-e2e-evidence.yml	71
.github/workflows/review-labels.yml	123
.github/workflows/skills-index-freshness.yml	159
.github/workflows/skills-index.yml	75
.github/workflows/supply-chain-audit.yml	308
.github/workflows/tests.yml	251
.github/workflows/uv-lockfile-check.yml	150
docker/SOUL.md	1
docker/cont-init.d/015-supervise-perms	90
docker/cont-init.d/02-reconcile-profiles	47
docker/entrypoint-dispatch.sh	25
docker/entrypoint.sh	28
docker/hermes-exec-shim.sh	87
docker/main-wrapper.sh	91
docker/s6-rc.d/dashboard/dependencies.d/base	0
docker/s6-rc.d/dashboard/finish	30
docker/s6-rc.d/dashboard/run	56
docker/s6-rc.d/dashboard/type	1
docker/s6-rc.d/main-hermes/dependencies.d/base	0
docker/s6-rc.d/main-hermes/run	27
docker/s6-rc.d/main-hermes/type	1
docker/s6-rc.d/user/contents.d/dashboard	0
docker/s6-rc.d/user/contents.d/main-hermes	0
docker/stage2-hook.sh	591
docker/tini-shim.sh	89
scripts/LIVETEST_README.md	45
scripts/add_contributor.py	103
scripts/analyze_livetest.py	114
scripts/audit_pr_attribution.py	147
scripts/benchmark_browser_eval.py	138
scripts/capture-cage-terminal.sh	18
scripts/check-windows-footguns.py	768
scripts/check_subprocess_stdin.py	227
scripts/ci/assemble_review_comment.py	428
scripts/ci/classify_changes.py	172
scripts/ci/e2e_screenshot_status.py	155
scripts/ci/emit_review_status.py	214
scripts/ci/live_comment.py	671
scripts/ci/lockfile_diff.py	174
scripts/ci/publish_e2e_evidence.py	328
scripts/ci/test_install_ps1_path_migration.ps1	125
scripts/ci/timings_report.py	1085
scripts/contributor_audit.py	493
scripts/discord-voice-doctor.py	396
scripts/iso-certify.py	625
scripts/keystroke_diagnostic.py	81
scripts/kill_modal.sh	34
scripts/lint_diff.py	207
scripts/micro_compaction_report.py	171
scripts/observability/gateway_health_export_probe.py	92
scripts/observability/otel_capture_collector.py	59
scripts/profile-tui.py	625
scripts/run_tests.sh	183
scripts/run_tests_parallel.py	1142
scripts/sample_and_compress.py	409
scripts/sandbox/openssl.cnf	43
scripts/sandbox/pick-release-tags.sh	110
scripts/sandbox/proxy.py	237
scripts/sandbox/ssh-shim.sh	13
scripts/sandbox/stage2-run.sh	251
scripts/smoke_nemo_relay_shared_metrics.py	739
scripts/tool_search_livetest.py	553
scripts/tool_search_livetest2.py	218
scripts/tool_search_livetest_ue.py	296
scripts/tool_search_livetest_ue_disc.py	234
scripts/tool_search_livetest_ue_hard.py	308
scripts/toolperf_abeval/README.md	87
scripts/toolperf_abeval/ab_eval.py	307
scripts/toolperf_abeval/run_all.sh	37
scripts/whatsapp-bridge/allowlist.js	88
scripts/whatsapp-bridge/allowlist.test.mjs	80
scripts/whatsapp-bridge/bridge.js	1155
scripts/whatsapp-bridge/bridge.native.test.mjs	414
scripts/whatsapp-bridge/bridge.reconnect.test.mjs	150
scripts/whatsapp-bridge/bridge.sendqueue.test.mjs	112
scripts/whatsapp-bridge/bridge_helpers.js	626
scripts/whatsapp-bridge/outbound_ids.js	45
scripts/whatsapp-bridge/outbound_ids.test.mjs	68
scripts/whatsapp-bridge/owner_message_gate.js	56
scripts/whatsapp-bridge/owner_message_gate.test.mjs	126
scripts/whatsapp-bridge/package.json	19
