path	lines	skill_dir
optional-mcps/blender/manifest.yaml	88	optional-mcps/blender
optional-mcps/comfy-cloud/manifest.yaml	82	optional-mcps/comfy-cloud
optional-mcps/figma/manifest.yaml	39	optional-mcps/figma
optional-mcps/linear/manifest.yaml	38	optional-mcps/linear
optional-mcps/n8n/manifest.yaml	81	optional-mcps/n8n
optional-mcps/unreal-engine/manifest.yaml	54	optional-mcps/unreal-engine
optional-skills/DESCRIPTION.md	24	optional-skills
optional-skills/autonomous-ai-agents/DESCRIPTION.md	2	optional-skills/autonomous-ai-agents
optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md	241	optional-skills/autonomous-ai-agents/antigravity-cli
optional-skills/autonomous-ai-agents/antigravity-cli/references/cli-docs.md	64	optional-skills/autonomous-ai-agents/antigravity-cli
optional-skills/blockchain/evm/SKILL.md	211	optional-skills/blockchain/evm
optional-skills/communication/DESCRIPTION.md	1	optional-skills/communication
optional-skills/creative/audiocraft-audio-generation/SKILL.md	569	optional-skills/creative/audiocraft-audio-generation
optional-skills/creative/audiocraft-audio-generation/references/advanced-usage.md	666	optional-skills/creative/audiocraft-audio-generation
optional-skills/creative/audiocraft-audio-generation/references/troubleshooting.md	504	optional-skills/creative/audiocraft-audio-generation
optional-skills/creative/baoyu-article-illustrator/prompts/system.md	32	optional-skills/creative/baoyu-article-illustrator/prompts
optional-skills/data-science/DESCRIPTION.md	3	optional-skills/data-science
optional-skills/devops/actual-setup/SKILL.md	146	optional-skills/devops/actual-setup
optional-skills/devops/actual-setup/references/opencode.md	91	optional-skills/devops/actual-setup
optional-skills/dogfood/DESCRIPTION.md	3	optional-skills/dogfood
optional-skills/email/agentmail/SKILL.md	126	optional-skills/email/agentmail
optional-skills/finance/3-statement-model/SKILL.md	433	optional-skills/finance/3-statement-model
optional-skills/finance/3-statement-model/references/formatting.md	118	optional-skills/finance/3-statement-model
optional-skills/finance/3-statement-model/references/formulas.md	292	optional-skills/finance/3-statement-model
optional-skills/finance/3-statement-model/references/sec-filings.md	125	optional-skills/finance/3-statement-model
optional-skills/gaming/DESCRIPTION.md	3	optional-skills/gaming
optional-skills/health/DESCRIPTION.md	1	optional-skills/health
optional-skills/health/fitness-nutrition/SKILL.md	256	optional-skills/health/fitness-nutrition
optional-skills/health/fitness-nutrition/references/FORMULAS.md	100	optional-skills/health/fitness-nutrition
optional-skills/mcp/DESCRIPTION.md	3	optional-skills/mcp
optional-skills/mcp/fastmcp/SKILL.md	300	optional-skills/mcp/fastmcp
optional-skills/mcp/fastmcp/references/fastmcp-cli.md	110	optional-skills/mcp/fastmcp
optional-skills/migration/DESCRIPTION.md	2	optional-skills/migration
optional-skills/mlops/accelerate/SKILL.md	352	optional-skills/mlops/accelerate
optional-skills/mlops/accelerate/references/custom-plugins.md	453	optional-skills/mlops/accelerate
optional-skills/mlops/accelerate/references/megatron-integration.md	489	optional-skills/mlops/accelerate
