# 语料 8d6bac6 / 276 份  剔除前缀 ('r11c-',)  处置语语料 276 份
# 撞号 39 号 / 100 实体
# 实体标签  NO-RULING=37  COVERED=18  REVIEW=45
cid	entity	entities	tag	mint_sites	anchor_files	named_by
H-1	1	4	REVIEW	notes/r10b-raw-capability-panels.md:1012;notes/r10b-raw-capability-panels.md:1084	apps/desktop/AGENTS.md;apps/desktop/src/contrib/plugin.ts	-
H-1	2	4	REVIEW	notes/r8a-90-doc-conflict-rulings.md:2110;notes/r8b-02-h1-h2-config-debt.md:10	cli.py	-
H-1	3	4	REVIEW	notes/r8d-raw-provider-identity.md:2702	hermes_cli/auth.py;hermes_cli/models.py	-
H-1	4	4	REVIEW	notes/r9a-raw-research-pipeline.md:2298	batch_runner.py	-
H-17	1	2	COVERED	notes/r8a-90-doc-conflict-rulings.md:2125;notes/r8c-90-rulings.md:19	hermes_cli/env_loader.py	锚点路径@notes/r8a-90-doc-conflict-rulings.md:2125;锚点路径@notes/r8c-90-rulings.md:19
H-17	2	2	COVERED	notes/r8c-10-h17-env-loader-race.md:17	gateway/run.py	同文件邻近@notes/r8c-10-h17-env-loader-race.md:17;点名铸号文件@notes/r8c-90-rulings.md:19
H-2	1	4	REVIEW	notes/r10b-raw-capability-panels.md:1045;notes/r10b-raw-capability-panels.md:1182	apps/desktop/src/contrib/runtime-loader.ts;apps/desktop/src/plugins/README.md	-
H-2	2	4	REVIEW	notes/r8a-90-doc-conflict-rulings.md:2111;notes/r8b-02-h1-h2-config-debt.md:13;notes/r8b-02-h1-h2-config-debt.md:279	cli.py	-
H-2	3	4	REVIEW	notes/r8d-raw-provider-identity.md:2703	hermes_cli/models.py	-
H-2	4	4	COVERED	notes/r9a-raw-research-pipeline.md:2299	trajectory_compressor.py	锚点路径@notes/r9a-raw-research-pipeline.md:2299
H-3	1	4	REVIEW	notes/r10b-raw-capability-panels.md:1212	tools/skills_guard.py	-
H-3	2	4	COVERED	notes/r8a-90-doc-conflict-rulings.md:2112;notes/r8c-90-rulings.md:15	hermes_cli/web_server.py	锚点路径@notes/r8a-90-doc-conflict-rulings.md:2112;锚点路径@notes/r8c-90-rulings.md:15
H-3	3	4	REVIEW	notes/r8d-raw-provider-identity.md:2704	hermes_cli/provider_catalog.py	-
H-3	4	4	REVIEW	notes/r9a-raw-research-pipeline.md:2300	trajectory_compressor.py	-
H-4	1	3	NO-RULING	notes/r8a-90-doc-conflict-rulings.md:2113	cli.py	-
H-4	2	3	NO-RULING	notes/r8d-raw-provider-identity.md:2705	hermes_cli/providers.py	-
H-4	3	3	NO-RULING	notes/r9a-raw-research-pipeline.md:2301	mini_swe_runner.py	-
H-5	1	3	REVIEW	notes/r8a-90-doc-conflict-rulings.md:2114	ui-tui/src/gatewayTypes.ts	-
H-5	2	3	REVIEW	notes/r8d-raw-provider-identity.md:2706	hermes_cli/model_normalize.py	-
H-5	3	3	COVERED	notes/r9a-raw-research-pipeline.md:2302	datagen-config-examples/web_research.yaml	锚点路径@notes/r9a-raw-research-pipeline.md:2302
H-6	1	3	NO-RULING	notes/r8d-raw-provider-identity.md:2707	agent/agent_runtime_helpers.py;hermes_cli/providers.py;hermes_cli/runtime_provider.py	-
