cluster	anchor_file	lines	n_cases	n_rounds	status	cases
C01	gateway/relay/media.py	80,92,94	7	6	REAL	R9B/H-R9A-a R9C/H-R9A-a R9A/H-R9A-a R9B/H-R9A-h R9A/■-01 R11A/H-R11A-a R9A/H-R8D-e R10/H-R9B-d R10B/H-R9B-d R11A/H-R9B-d R9B/H-R9B-d R11A/■-R11A-01
C02	hermes_cli/config.py	3065,3089,3092	9	4	REAL	R8A/H-7 R8B/H-7 R8B/H-R8FIX-a R8C/H-R8FIX-a R8FIX/H-R8FIX-a R8C/◎-2 R8A/▲-10 R8C/▲-1 R8C/▲-2 R8C/▲-3
C03	gateway/pairing.py	414,421,424,437	5	3	REAL	R8C/▲-1 R8C/▲-2 R7C/◇3 R8A/H-11 R8A/■-39
C04	cli.py	477,479,481	4	3	REAL	R8A/■-12 R10B/◇-2 R8A/■-10 R8B/H-1
C05	gateway/relay/media.py	154,162,164,169	3	3	REAL	R9B/H-R9A-a R9C/H-R9A-a R11A/H-R9B-d R11A/■-R11A-01
C06	hermes_cli/env_loader.py	640,666,667	3	3	REAL	R8C/■-R8C-01 R8C/H-R8C-d R8D/H-R8D-c R8D/H-R8C-d R9A/H-R8C-d R9A/H-R8D-c
C07	hermes_constants.py	274,278,280	3	3	REAL	R9B/■-2 R7C/▲3 R8A/◇3
C08	hermes_cli/auth.py	7329	2	3	REAL	R8B/H-R8FIX-a R8C/H-R8FIX-a R8FIX/H-R8FIX-a R8C/■-R8B-12
C09	hermes_cli/web_server.py	5519,5521,5524	2	3	REAL	R10/■-R10-01 R10B/■-R10-01 R10B/H-R10-d R11A/H-R10-d R10/H-R10-d
C10	gateway/run.py	15595,15615	9	2	REAL	R9A/▲-2 R7C/■-3 R7C/▲-17 R7C/▲-18 R7C/▲-19 R7C/▲-20 R7C/▲-21 R7C/▲-6 R7C/▲-8
C11	gateway/run.py	2057,2058	7	2	REAL	R8A/◇-1c R8C/H-10 R8C/■-1 R8A/◇-1 R8A/◇-1b R8C/■-R8C-05
C12	cron/scheduler.py	1210,1231,1233	6	2	REAL	R9D/■-1 R7C/◇-1 R7C/▲-10 R7C/▲-11 R7C/▲-9 R7C/▲-7
C13	AGENTS.md	964,966,971,986	5	2	REAL	R9D/H-R9A-g R9A/H-R9A-g R9A/▲4 R9A/▲-3 R9A/▲3 R9A/▲1
C14	agent/lsp/manager.py	480,486	5	2	REAL	R9D/■2 R11A/H-R11A-b R11A/H-R9D-a R9D/■1 R9D/■11
C15	apps/desktop/README.md	114,131,133	5	2	REAL	R10/H-R10H-h R10/▲-3 R10B/▲1 R10B/H-R10B-C-i R10B/◎-1
C16	hermes_cli/pairing.py	81,96,97	5	2	REAL	R8A/■-6 R8A/■-8 R7C/▲3 R8A/■-24 R8A/◇6
C17	hermes_cli/web_server.py	12296,12303,12309,12320,12321	5	2	REAL	R8A/H-11 R8C/H-11 R8C/▲-1 R8C/▲-2 R8C/◇-R8C-a R8A/H-3 R8C/H-3
C18	website/docs/developer-guide/gateway-internals.md	59,86	5	2	REAL	R7B/▲-B-2 R7B/▲1 R7/▲21 R7B/▲-B-1
C19	agent/file_safety.py	274,278,284	4	2	REAL	R9C/■-1 R9D/H-R9C-b R9D/H-R9D-B-b R9D/■-2
C20	apps/desktop/README.md	155,156,183,184	4	2	REAL	R10B/▲1 R10B/◎2 R10/▲-1 R10/H-R10H-g
C21	cli.py	598,599,624	4	2	REAL	R8B/H-2 R8B/H-1 R8A/H-2 R8A/■-3 R8A/H-4
C22	cron/scheduler.py	332,334	4	2	REAL	R8C/■-R8C-01 R7C/▲-4 R7C/▲-1
C23	gateway/relay/adapter.py	461,471	4	2	REAL	R9A/■-01 R11A/H-R11A-a R11A/H-R9B-d R11A/■-R11A-01
C24	hermes_cli/web_server.py	12330,12337,12346,12347	4	2	REAL	R7C/◇1 R7C/▲1 R8A/■-8 R8A/■-24
C25	agent/agent_runtime_helpers.py	59,78,79	3	2	REAL	R11A/H-R9D-c R9D/■-4 R9D/H-R9D-F-b
C26	agent/lsp/manager.py	313	3	2	REAL	R9D/H-R9D-A-a R11A/H-R9D-a R9D/H-R9D-a R9D/■1
C27	agent/think_scrubber.py	79,89	3	2	REAL	R9D/■-4 R9D/H-R9D-F-b R11A/H-R9D-c R9D/H-R9D-c
C28	apps/desktop/electron/preload.ts	103,126	3	2	REAL	R10B/▲1 R10B/◇1 R10/H-R10H-j
C29	cron/scheduler.py	1158,1177	3	2	REAL	R7C/◇-1 R9D/H-R9D-D-a R9D/■-1
C30	cron/scheduler.py	2638,2643,2663	3	2	REAL	R9A/◇-5 R9A/▲-2 R7C/◇-5
C31	gateway/platforms/base.py	3758,3766,3780	3	2	REAL	R7C/◇-09 R7C/◇-08 R9D/■-1
C32	gateway/run.py	14455,14479	3	2	REAL	R7C/▲1 R8A/▲-6
C33	hermes_cli/backup.py	1099,1112,1116	3	2	REAL	R7C/◇2 R9A/◇3 R7C/▲3
C34	hermes_cli/dashboard_auth/public_paths.py	39,48,51	3	2	REAL	R8C/◎-1 R8C/◎-2 R10/◇-G-03
C35	hermes_cli/env_loader.py	588,591,614	3	2	REAL	R8A/■-27 R8C/■-R8C-01 R8A/H-17 R8C/H-17
