file	line	anchor	reason
notes/r10-90-handover-rulings.md	398	cron.py:143	3/3 个候选够长
notes/r11b-raw-backlog-light.md	270	debug.py:9	2/2 个候选够长
notes/r11b-raw-backlog-light.md	270	logs.py:9	2/2 个候选够长
notes/r11b-raw-rulings-census.md	775	tools.md:88	2/2 个候选够长
notes/r2-03-streaming.md	29	agent-loop.md:108	2/2 个候选够长
notes/r2-05-tool-executor.md	25	agent-loop.md:133	2/2 个候选够长
notes/r2-06-turn-context-sidecar.md	12	turn_context.py:337	长度可定 -> agent/turn_context.py,但内容判据不过
notes/r2-06-turn-context-sidecar.md	45	turn_context.py:53	2/2 个候选够长
notes/r2-06-turn-context-sidecar.md	65	turn_context.py:173	长度可定 -> agent/turn_context.py,但内容判据不过
notes/r2-20-adapters.md	309	provider-runtime.md:139	2/2 个候选够长
notes/r2-20-adapters.md	425	provider-runtime.md:132	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	322	insights.py:66	长度可定 -> agent/insights.py,但内容判据不过
notes/r2-21-auxiliary-metadata-pricing.md	344	provider-runtime.md:196	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	350	fallback-providers.md:14	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	350	provider-runtime.md:148	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	355	session-storage.md:154	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	356	cli-commands.md:174	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	378	provider-runtime.md:196	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	378	fallback-providers.md:14	2/2 个候选够长
notes/r2-21-auxiliary-metadata-pricing.md	379	provider-runtime.md:148	2/2 个候选够长
notes/r2-22-credential-pool.md	681	credential-pools.md:143	2/2 个候选够长
notes/r2-22-credential-pool.md	683	credential-pools.md:12	2/2 个候选够长
notes/r2-22-credential-pool.md	685	credential-pools.md:213	2/2 个候选够长
notes/r2-22-credential-pool.md	687	credential-pools.md:195	2/2 个候选够长
notes/r2-22-credential-pool.md	693	nous-portal.md:57	2/2 个候选够长
