kind	key	n_chapters	chapters	hits
B-term	API	11	r10-client-interface-layer.md,r2-turn-loop-and-model-access.md,r4-execution-environments.md,r5-session-state-and-persistence.md,r7-gateway-session-core.md,r7c-gateway-periphery-and-scheduling.md,r8a-configuration-surface.md,r8d-self-custody.md,r9a-capability-organization.md,r9c-external-interfaces.md,r9d-tool-surface-and-guard-placement.md	r10-client-interface-layer.md:209 || r2-turn-loop-and-model-access.md:333 || r4-execution-environments.md:711 || r5-session-state-and-persistence.md:706 || r7-gateway-session-core.md:545 || r7c-gateway-periphery-and-scheduling.md:62 || r8a-configuration-surface.md:665 || r8d-self-custody.md:293 || r9a-capability-organization.md:164 || r9c-external-interfaces.md:153 || r9d-tool-surface-and-guard-placement.md:494
B-term	CLI	10	r10b-desktop-application.md,r11b-the-unwritten-layer.md,r3-tool-infrastructure.md,r5-session-state-and-persistence.md,r6-memory-provider-ecosystem.md,r7-gateway-session-core.md,r7c-gateway-periphery-and-scheduling.md,r8a-configuration-surface.md,r8b-cli-trunk-and-interaction.md,r8c-dashboard-and-web.md	r10b-desktop-application.md:13 || r11b-the-unwritten-layer.md:11 || r3-tool-infrastructure.md:107 || r5-session-state-and-persistence.md:604 || r6-memory-provider-ecosystem.md:33 || r7-gateway-session-core.md:239 || r7c-gateway-periphery-and-scheduling.md:162 || r8a-configuration-surface.md:409 || r8b-cli-trunk-and-interaction.md:1 || r8c-dashboard-and-web.md:415
B-term	HTTP	10	r11b-the-unwritten-layer.md,r2-turn-loop-and-model-access.md,r4-execution-environments.md,r5-session-state-and-persistence.md,r6-memory-provider-ecosystem.md,r7b-platform-integration.md,r8a-configuration-surface.md,r8c-dashboard-and-web.md,r9b-multimodal-delivery.md,r9c-external-interfaces.md	r11b-the-unwritten-layer.md:83 || r2-turn-loop-and-model-access.md:430 || r4-execution-environments.md:235 || r5-session-state-and-persistence.md:365 || r6-memory-provider-ecosystem.md:399 || r7b-platform-integration.md:382 || r8a-configuration-surface.md:896 || r8c-dashboard-and-web.md:15 || r9b-multimodal-delivery.md:140 || r9c-external-interfaces.md:164
B-term	LLM	9	r1-what-is-hermes-agent.md,r11b-the-unwritten-layer.md,r2-turn-loop-and-model-access.md,r3-tool-infrastructure.md,r5-session-state-and-persistence.md,r6-memory-provider-ecosystem.md,r7-gateway-session-core.md,r9b-multimodal-delivery.md,r9c-external-interfaces.md	r1-what-is-hermes-agent.md:18 || r11b-the-unwritten-layer.md:4 || r2-turn-loop-and-model-access.md:3 || r3-tool-infrastructure.md:1 || r5-session-state-and-persistence.md:244 || r6-memory-provider-ecosystem.md:174 || r7-gateway-session-core.md:582 || r9b-multimodal-delivery.md:183 || r9c-external-interfaces.md:608
B-term	JSON	8	r10-client-interface-layer.md,r11b-the-unwritten-layer.md,r4-execution-environments.md,r6-memory-provider-ecosystem.md,r7b-platform-integration.md,r7c-gateway-periphery-and-scheduling.md,r9b-multimodal-delivery.md,r9c-external-interfaces.md	r10-client-interface-layer.md:137 || r11b-the-unwritten-layer.md:28 || r4-execution-environments.md:475 || r6-memory-provider-ecosystem.md:395 || r7b-platform-integration.md:657 || r7c-gateway-periphery-and-scheduling.md:266 || r9b-multimodal-delivery.md:11 || r9c-external-interfaces.md:522
B-term	MCP	7	r11b-the-unwritten-layer.md,r3-tool-infrastructure.md,r4-execution-environments.md,r6-memory-provider-ecosystem.md,r7-gateway-session-core.md,r8a-configuration-surface.md,r8c-dashboard-and-web.md	r11b-the-unwritten-layer.md:177 || r3-tool-infrastructure.md:309 || r4-execution-environments.md:719 || r6-memory-provider-ecosystem.md:6 || r7-gateway-session-core.md:589 || r8a-configuration-surface.md:1198 || r8c-dashboard-and-web.md:371
B-term	README	5	r10-client-interface-layer.md,r11a-ops-and-delivery.md,r4-execution-environments.md,r5-session-state-and-persistence.md,r6-memory-provider-ecosystem.md	r10-client-interface-layer.md:254 || r11a-ops-and-delivery.md:282 || r4-execution-environments.md:339 || r5-session-state-and-persistence.md:430 || r6-memory-provider-ecosystem.md:461
B-term	RPC	5	r10-client-interface-layer.md,r3-tool-infrastructure.md,r4-execution-environments.md,r8a-configuration-surface.md,r9c-external-interfaces.md	r10-client-interface-layer.md:137 || r3-tool-infrastructure.md:272 || r4-execution-environments.md:719 || r8a-configuration-surface.md:237 || r9c-external-interfaces.md:522
B-term	URL	5	r11b-the-unwritten-layer.md,r3-tool-infrastructure.md,r7-gateway-session-core.md,r9a-capability-organization.md,r9c-external-interfaces.md	r11b-the-unwritten-layer.md:235 || r3-tool-infrastructure.md:199 || r7-gateway-session-core.md:655 || r9a-capability-organization.md:460 || r9c-external-interfaces.md:60
B-term	ID	4	r2-turn-loop-and-model-access.md,r6-memory-provider-ecosystem.md,r7b-platform-integration.md,r7c-gateway-periphery-and-scheduling.md	r2-turn-loop-and-model-access.md:193 || r6-memory-provider-ecosystem.md:367 || r7b-platform-integration.md:387 || r7c-gateway-periphery-and-scheduling.md:256
