src_file	line_span	n_chapters	chapters	hits
AGENTS.md	971-1005	2	r9a-capability-organization.md,r9d-tool-surface-and-guard-placement.md	r9a-capability-organization.md#429->AGENTS.md:971;r9d-tool-surface-and-guard-placement.md#643->AGENTS.md:971;r9a-capability-organization.md#428->AGENTS.md:986;r9a-capability-organization.md#427->AGENTS.md:1005
agent/agent_init.py	892-892	2	r1-what-is-hermes-agent.md,r2-turn-loop-and-model-access.md	r1-what-is-hermes-agent.md#144->agent/agent_init.py:892;r2-turn-loop-and-model-access.md#151->agent/agent_init.py:892
agent/conversation_loop.py	1415-1445	2	r1-what-is-hermes-agent.md,r2-turn-loop-and-model-access.md	r2-turn-loop-and-model-access.md#141->agent/conversation_loop.py:1415;r2-turn-loop-and-model-access.md#157->agent/conversation_loop.py:1444;r1-what-is-hermes-agent.md#144->agent/conversation_loop.py:1445
agent/file_safety.py	280-281	2	r9c-external-interfaces.md,r9d-tool-surface-and-guard-placement.md	r9c-external-interfaces.md#418->agent/file_safety.py:280;r9d-tool-surface-and-guard-placement.md#229->agent/file_safety.py:281
agent/memory_manager.py	347-351	2	r5-session-state-and-persistence.md,r6-memory-provider-ecosystem.md	r5-session-state-and-persistence.md#578->agent/memory_manager.py:347;r6-memory-provider-ecosystem.md#292->agent/memory_manager.py:351
agent/skill_utils.py	849-877	2	r11a-ops-and-delivery.md,r9a-capability-organization.md	r9a-capability-organization.md#44->agent/skill_utils.py:849;r11a-ops-and-delivery.md#207->agent/skill_utils.py:877
agent/system_prompt.py	504-505	2	r5-session-state-and-persistence.md,r9a-capability-organization.md	r5-session-state-and-persistence.md#469->agent/system_prompt.py:504;r9a-capability-organization.md#233->agent/system_prompt.py:505
cli.py	479-481	2	r8a-configuration-surface.md,r8b-cli-trunk-and-interaction.md	r8a-configuration-surface.md#397->cli.py:479;r8b-cli-trunk-and-interaction.md#169->cli.py:481
cli.py	4488-4490	2	r8a-configuration-surface.md,r8b-cli-trunk-and-interaction.md	r8a-configuration-surface.md#426->cli.py:4488;r8b-cli-trunk-and-interaction.md#218->cli.py:4490
gateway/platforms/base.py	5711-5711	2	r7-gateway-session-core.md,r7b-platform-integration.md	r7-gateway-session-core.md#50->gateway/platforms/base.py:5711;r7b-platform-integration.md#778->gateway/platforms/base.py:5711
gateway/run.py	2037-2060	2	r8a-configuration-surface.md,r8c-dashboard-and-web.md	r8a-configuration-surface.md#222->gateway/run.py:2037;r8a-configuration-surface.md#195->gateway/run.py:2057;r8a-configuration-surface.md#1303->gateway/run.py:2058;r8c-dashboard-and-web.md#293->gateway/run.py:2058;r8c-dashboard-and-web.md#299->gateway/run.py:2060
gateway/run.py	11096-11096	2	r7-gateway-session-core.md,r7b-platform-integration.md	r7-gateway-session-core.md#58->gateway/run.py:11096;r7b-platform-integration.md#779->gateway/run.py:11096
gateway/run.py	14479-14493	2	r7-gateway-session-core.md,r8a-configuration-surface.md	r8a-configuration-surface.md#1711->gateway/run.py:14479;r7-gateway-session-core.md#689->gateway/run.py:14493
gateway/slash_commands.py	2502-2507	2	r8a-configuration-surface.md,r8b-cli-trunk-and-interaction.md	r8b-cli-trunk-and-interaction.md#335->gateway/slash_commands.py:2502;r8a-configuration-surface.md#247->gateway/slash_commands.py:2507
hermes_cli/commands.py	92-106	2	r7c-gateway-periphery-and-scheduling.md,r8a-configuration-surface.md	r8a-configuration-surface.md#1512->hermes_cli/commands.py:92;r8a-configuration-surface.md#1539->hermes_cli/commands.py:93;r8a-configuration-surface.md#1014->hermes_cli/commands.py:102;r7c-gateway-periphery-and-scheduling.md#175->hermes_cli/commands.py:106
hermes_cli/main.py	280-280	2	r8a-configuration-surface.md,r8b-cli-trunk-and-interaction.md	r8a-configuration-surface.md#1742->hermes_cli/main.py:280;r8b-cli-trunk-and-interaction.md#552->hermes_cli/main.py:280
hermes_cli/web_server.py	1833-1838	2	r8c-dashboard-and-web.md,r8d-self-custody.md	r8c-dashboard-and-web.md#245->hermes_cli/web_server.py:1833;r8c-dashboard-and-web.md#245->hermes_cli/web_server.py:1833;r8d-self-custody.md#388->hermes_cli/web_server.py:1833;r8d-self-custody.md#378->hermes_cli/web_server.py:1838
hermes_cli/web_server.py	12321-12343	2	r8a-configuration-surface.md,r8c-dashboard-and-web.md	r8c-dashboard-and-web.md#50->hermes_cli/web_server.py:12321;r8c-dashboard-and-web.md#56->hermes_cli/web_server.py:12322;r8a-configuration-surface.md#1100->hermes_cli/web_server.py:12335;r8a-configuration-surface.md#1109->hermes_cli/web_server.py:12343
model_tools.py	1103-1123	2	r3-tool-infrastructure.md,r9c-external-interfaces.md	r9c-external-interfaces.md#365->model_tools.py:1103;r3-tool-infrastructure.md#54->model_tools.py:1123
tools/code_execution_tool.py	252-253	2	r3-tool-infrastructure.md,r9a-capability-organization.md	r9a-capability-organization.md#186->tools/code_execution_tool.py:252;r3-tool-infrastructure.md#278->tools/code_execution_tool.py:253
tools/transcription_tools.py	336-341	2	r9b-multimodal-delivery.md,r9c-external-interfaces.md	r9c-external-interfaces.md#266->tools/transcription_tools.py:336;r9b-multimodal-delivery.md#405->tools/transcription_tools.py:341
tools/voice_mode.py	2193-2193	2	r9b-multimodal-delivery.md,r9c-external-interfaces.md	r9b-multimodal-delivery.md#422->tools/voice_mode.py:2193;r9b-multimodal-delivery.md#422->tools/voice_mode.py:2193;r9c-external-interfaces.md#289->tools/voice_mode.py:2193
