file	line	citation	class	target
reports/round-1-capabilities-full.md	388	context-compression-and-caching.md:396	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	390	provider-runtime.md:180	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	392	provider-runtime.md:196	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	526	configuration.md:840	AMBIGUOUS	4 个候选(BASELINE)
reports/round-1-capabilities-full.md	598	turn_context.py:588	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	609	turn_context.py:588	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	753	sessions.md:551	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	753	memory.md:190	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	757	turn_context.py:588	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	780	registry.py:216	AMBIGUOUS	5 个候选(BASELINE)
reports/round-1-capabilities-full.md	780	registry.py:220	AMBIGUOUS	5 个候选(BASELINE)
reports/round-1-capabilities-full.md	876	security.md:665	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	876	security.md:654	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	1156	session-storage.md:28	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	1172	session-storage.md:177	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	1302	session-storage.md:177	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	1304	session-storage.md:13	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	1504	gateway-internals.md:78	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	1504	session.py:1103	AMBIGUOUS	3 个候选(BASELINE)
reports/round-1-capabilities-full.md	1520	gateway-internals.md:86	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	1520	base.py:5736	AMBIGUOUS	9 个候选(BASELINE)
reports/round-1-capabilities-full.md	1576	gateway-internals.md:104	AMBIGUOUS	2 个候选(BASELINE)
