file	line	old	new
reports/round-1-capabilities-full.md	26	agent_init.py:470	agent/agent_init.py:470
reports/round-1-capabilities-full.md	51	conversation_loop.py:122-201	agent/conversation_loop.py:122-201
reports/round-1-capabilities-full.md	53	conversation_loop.py:6597-6615	agent/conversation_loop.py:6597-6615
reports/round-1-capabilities-full.md	58	conversation_loop.py:2133	agent/conversation_loop.py:2133
reports/round-1-capabilities-full.md	80	conversation_loop.py:2348-2394	agent/conversation_loop.py:2348-2394
reports/round-1-capabilities-full.md	92	conversation_loop.py:6588-6903	agent/conversation_loop.py:6588-6903
reports/round-1-capabilities-full.md	134	conversation_loop.py:7037-7206	agent/conversation_loop.py:7037-7206
reports/round-1-capabilities-full.md	158	conversation_loop.py:7215-7308	agent/conversation_loop.py:7215-7308
reports/round-1-capabilities-full.md	176	turn_finalizer.py:127-141	agent/turn_finalizer.py:127-141
reports/round-1-capabilities-full.md	180	conversation_loop.py:164-197	agent/conversation_loop.py:164-197
reports/round-1-capabilities-full.md	180	conversation_loop.py:6594-6615	agent/conversation_loop.py:6594-6615
reports/round-1-capabilities-full.md	196	chat_completion_helpers.py:451	agent/chat_completion_helpers.py:451
reports/round-1-capabilities-full.md	230	prompt_caching.py:1-8	agent/prompt_caching.py:1-8
reports/round-1-capabilities-full.md	235	credential_pool.py:633	agent/credential_pool.py:633
reports/round-1-capabilities-full.md	249	error_classifier.py:623	agent/error_classifier.py:623
reports/round-1-capabilities-full.md	263	chat_completion_helpers.py:1730	agent/chat_completion_helpers.py:1730
reports/round-1-capabilities-full.md	277	auxiliary_client.py:5391	agent/auxiliary_client.py:5391
reports/round-1-capabilities-full.md	329	usage_pricing.py:1205	agent/usage_pricing.py:1205
reports/round-1-capabilities-full.md	365	anthropic_adapter.py:777	agent/anthropic_adapter.py:777
reports/round-1-capabilities-full.md	428	prompt_builder.py:2062	agent/prompt_builder.py:2062
reports/round-1-capabilities-full.md	694	session_search_tool.py:23	tools/session_search_tool.py:23
reports/round-1-capabilities-full.md	849	approval.py:434	tools/approval.py:434
reports/round-1-capabilities-full.md	876	url_safety.py:487-493	tools/url_safety.py:487-493
reports/round-1-capabilities-full.md	876	url_safety.py:466-472	tools/url_safety.py:466-472
reports/round-1-capabilities-full.md	929	mcp_tool.py:2398-2422	tools/mcp_tool.py:2398-2422
reports/round-1-capabilities-full.md	1046	docker.py:1961-1966	tools/environments/docker.py:1961-1966
reports/round-1-capabilities-full.md	1553	run.py:16584	gateway/run.py:16584
reports/round-1-capabilities-full.md	1576	run.py:14479-14500	gateway/run.py:14479-14500
reports/round-1-capabilities-full.md	2365	update_cmd.py:3564	hermes_cli/update_cmd.py:3564
reports/round-1-capabilities-full.md	2380	update_cmd.py:725	hermes_cli/update_cmd.py:725
reports/round-1-survey.md	125	conversation_loop.py:122-201	agent/conversation_loop.py:122-201
reports/round-1-survey.md	128	conversation_loop.py:6588-6903	agent/conversation_loop.py:6588-6903
reports/round-1-survey.md	131	conversation_loop.py:7037-7206	agent/conversation_loop.py:7037-7206
reports/round-1-survey.md	133	conversation_loop.py:7215-7308	agent/conversation_loop.py:7215-7308
reports/round-1-survey.md	450	prompt_caching.py:1-8	agent/prompt_caching.py:1-8
reports/round-1-survey.md	493	session_search_tool.py:23	tools/session_search_tool.py:23
reports/round-1-survey.md	588	conversation_loop.py:164-197	agent/conversation_loop.py:164-197
reports/round-10-client-interface-layer.md	312	edit_approval.py:267	acp_adapter/edit_approval.py:267
reports/round-2-turn-loop.md	77	conversation_loop.py:2330-2331	agent/conversation_loop.py:2330-2331
reports/round-4-execution-environments.md	58	cua_backend.py:1-11	tools/computer_use/cua_backend.py:1-11
reports/round-4-execution-environments.md	58	schema.py:14-16	tools/computer_use/schema.py:14-16
reports/round-4-execution-environments.md	58	vision_routing.py:1-20	tools/computer_use/vision_routing.py:1-20
reports/round-8-fix-review-1.md	37	ADDING_A_PLATFORM.md:135	gateway/platforms/ADDING_A_PLATFORM.md:135
reports/round-8-fix-review-1.md	195	credential_lifecycle.py:174	hermes_cli/credential_lifecycle.py:174
reports/round-8-fix-review-1.md	273	docker.py:1961	tools/environments/docker.py:1961
reports/round-8-fix-review-1.md	277	models_dev.py:11	agent/models_dev.py:11
reports/round-8-fix-review-1.md	277	tool_result_storage.py:172-178	tools/tool_result_storage.py:172-178
reports/round-8-fix-review-1.md	286	ADDING_A_PLATFORM.md:135	gateway/platforms/ADDING_A_PLATFORM.md:135
reports/round-8-fix-review-1.md	286	cua_backend.py:2050-2053	tools/computer_use/cua_backend.py:2050-2053
reports/round-8a-configuration-surface.md	428	env_loader.py:477	hermes_cli/env_loader.py:477
reports/round-8b-cli-trunk-and-interaction.md	179	commands.py:181	hermes_cli/commands.py:181
reports/round-9c-external-interfaces.md	277	codex_app_server_session.py:619	agent/transports/codex_app_server_session.py:619
reports/round-9c-external-interfaces.md	278	chat_completion_helpers.py:2172	agent/chat_completion_helpers.py:2172
reports/round-9c-external-interfaces.md	280	microsoft_graph_client.py:139	tools/microsoft_graph_client.py:139
reports/round-9c-external-interfaces.md	281	billing_usage.py:270	agent/billing_usage.py:270
reports/round-9c-external-interfaces.md	283	file_safety.py:281-283	agent/file_safety.py:281-283
