file	line	citation	class	target
reports/round-1-capabilities-full.md	26	agent_init.py:470	BASELINE-ONE	agent/agent_init.py
reports/round-1-capabilities-full.md	51	conversation_loop.py:122	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	53	conversation_loop.py:6597	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	58	conversation_loop.py:2133	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	80	conversation_loop.py:2348	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	92	conversation_loop.py:6588	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	134	conversation_loop.py:7037	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	158	conversation_loop.py:7215	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	176	turn_finalizer.py:127	BASELINE-ONE	agent/turn_finalizer.py
reports/round-1-capabilities-full.md	180	conversation_loop.py:164	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	180	conversation_loop.py:6594	BASELINE-ONE	agent/conversation_loop.py
reports/round-1-capabilities-full.md	196	chat_completion_helpers.py:451	BASELINE-ONE	agent/chat_completion_helpers.py
reports/round-1-capabilities-full.md	230	prompt_caching.py:1	BASELINE-ONE	agent/prompt_caching.py
reports/round-1-capabilities-full.md	235	credential_pool.py:633	BASELINE-ONE	agent/credential_pool.py
reports/round-1-capabilities-full.md	249	error_classifier.py:623	BASELINE-ONE	agent/error_classifier.py
reports/round-1-capabilities-full.md	263	chat_completion_helpers.py:1730	BASELINE-ONE	agent/chat_completion_helpers.py
reports/round-1-capabilities-full.md	277	auxiliary_client.py:5391	BASELINE-ONE	agent/auxiliary_client.py
reports/round-1-capabilities-full.md	329	usage_pricing.py:1205	BASELINE-ONE	agent/usage_pricing.py
reports/round-1-capabilities-full.md	365	anthropic_adapter.py:777	BASELINE-ONE	agent/anthropic_adapter.py
reports/round-1-capabilities-full.md	388	context-compression-and-caching.md:396	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	390	provider-runtime.md:180	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	392	provider-runtime.md:196	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	428	prompt_builder.py:2062	BASELINE-ONE	agent/prompt_builder.py
reports/round-1-capabilities-full.md	526	configuration.md:840	AMBIGUOUS	4 个候选(BASELINE)
reports/round-1-capabilities-full.md	598	turn_context.py:588	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	609	turn_context.py:588	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	694	session_search_tool.py:23	BASELINE-ONE	tools/session_search_tool.py
reports/round-1-capabilities-full.md	753	sessions.md:551	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	753	memory.md:190	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	757	turn_context.py:588	AMBIGUOUS	2 个候选(BASELINE)
reports/round-1-capabilities-full.md	780	registry.py:216	AMBIGUOUS	5 个候选(BASELINE)
