chapter	section	sha256	section_lines
chapters/r1-what-is-hermes-agent.md	TL;DR(读这一段就有全貌)	99d9004e54b10588aafdf42f6186cbdf2588e71c31efbbfb0ddd0e66ee669123	19
chapters/r10-client-interface-layer.md	4. 可迁移的设计原则	2ad8bb6cc05029235c68ce81260ff42ccce8b1367911bbda1ce87a967d37f240	27
chapters/r10-client-interface-layer.md	TL;DR(快读路径)	62a452bb5758daf4f1c2751fb392c350818eb467437ec5343c0300467fddb285	17
chapters/r10b-desktop-application.md	4. 可迁移的设计原则	1cae894aea65f4dc7a349191faf1b6a67d8290efb619db00f609e4646e0d1baa	19
chapters/r10b-desktop-application.md	TL;DR(快读路径)	e955cfa169e73ec331cd77913beb4f367eb98c271f7cb17b5c5426f9346941d8	22
chapters/r11a-ops-and-delivery.md	4. 可迁移的设计原则	3cd513c87cd5d6056032a7193d8ee6c9221b4834de0bdaa042cb1844b44d5b45	19
chapters/r11a-ops-and-delivery.md	TL;DR(快读路径)	6def529e8efdae5ec5145ae99bb35e8345b9622161c5905d2846333c8e1b5121	18
chapters/r11b-the-unwritten-layer.md	4. 可迁移的设计原则	3dce834d155820142a32d1928da4f233cc1ca37b0a89e4bbc304133d4c411a4a	22
chapters/r11b-the-unwritten-layer.md	TL;DR(快读路径)	f7d99da59334438e9850f67ccf845d6638339383bab37620eecb0ad1f89506b1	16
chapters/r2-turn-loop-and-model-access.md	4. 可迁移的设计原则(造你自己的 harness 时怎么做)	ff826bdf4ba5601cd0500144bfd3e7c1775c20a26cbb0a7b6851363bdeb84433	19
chapters/r2-turn-loop-and-model-access.md	TL;DR(快读路径:读这一段就有全貌)	59576a3b9de678e6b3e0b2ee318f7bcf29d6639c8b881a4fb0e13ec5dbe95f57	30
chapters/r3-tool-infrastructure.md	4. 可迁移的设计原则(造你自己的工具系统时怎么做)	36db3704cbaed99aa4ef141ed108e25b1af578c830e6547bbdb59c7d69a62373	21
chapters/r3-tool-infrastructure.md	TL;DR(快读路径:读这一段就有全貌)	80a32814f4e290b888ce0210e01784454716aa9e85255aeff2945df06276ad8c	29
