method	base_line	abstract	discord	telegram	slack
__init__	2750		1012	703	891
_acquire_platform_lock	3217		-	-	-
_apply_topic_recovery	3325		-	-	-
_can_merge_text_debounce_events	5174		-	-	-
_cleanup_finished_session_task	6492		-	-	-
_discard_text_debounce	5298		-	-	-
_dispatch_active_session_command	5477		-	-	-
_drain_pending_after_session_command	5459		-	-	-
_ea_escape	3684		-	5439	-
_final_delivery_adapter	5014		-	-	-
_flush_text_debounce	5255		-	-	-
_flush_text_debounce_now	5268		-	-	-
_format_choice_page	3716		-	-	-
_format_exec_approval	3691		-	-	-
_get_ephemeral_system_ttl_default	3602		-	-	-
_get_human_delay	5760		-	-	-
_heal_stale_session_lock	5349		-	-	-
_history_media_paths_for_session	3416		-	-	-
_is_animation_url	4009		-	-	-
_is_queue_text_debounce_candidate	5156		-	-	-
_is_retryable_error	4973		-	-	-
_is_sender_authorized	3382		-	-	-
_is_timeout_error	4981		-	-	-
_keep_typing	4677		-	-	-
_mark_connected	3157		-	890	-
_mark_disconnected	3164		-	894	-
_mark_streaming_tts_completed_turn	4176		-	-	-
_mask_json_string_media	4417		-	-	-
_mask_protected_spans	4366		-	-	-
_merge_caption	5134		-	-	-
_notify_fatal_error	3209		-	-	-
_notify_media_delivery_failure	4266		-	-	-
_process_message_background	5786		-	-	-
_queue_text_debounce	5203		-	-	-
_release_platform_lock	3283		-	-	-
_release_session_guard	5312		-	-	-
_run_processing_hook	4962		-	-	-
_schedule_ephemeral_delete	3626		-	-	-
_send_with_retry	5042		-	-	-
_session_task_is_stale	5332		-	-	-
_set_fatal_error	3170		-	898	-
_should_auto_tts_for_chat	3139		-	-	-
_start_session_processing	5376		-	-	-
_stop_typing_refresh	4763		-	-	-
_stop_typing_with_metadata	3891		-	-	-
_streaming_tts_turn_completed	4191		-	-	-
_streaming_tts_turn_key	4167		-	-	-
_text_debounce_delay	5193		-	-	-
_text_debounce_store	5149		-	-	-
_truncate_preview	3675		-	-	-
_unwrap_ephemeral	4992		-	-	-
_write_runtime_status_safe	3177		-	-	-
abort_streaming_tts	4159		-	-	-
authorization_is_upstream	2912		-	-	-
begin_streaming_tts	4137		-	-	-
build_source	6581		-	-	-
cancel_background_tasks	6512		1706	-	-
cancel_session_processing	5408		-	-	-
connect	3471	A	1210	3663	1753
create_handoff_thread	3525		6927	3298	2221
delete_message	3581		-	5217	2821
disconnect	3491	A	1771	4295	2264
edit_message	3552		3322	4793	2710
enforces_own_access_policy	2884		-	-	-
extract_images	4015		-	-	-
extract_local_files	4593		-	-	-
extract_media	4457		-	-	-
fatal_error_code	3132		-	-	-
fatal_error_message	3128		-	-	-
fatal_error_retryable	3136		-	-	-
filter_local_delivery_paths	4352		-	-	-
filter_media_delivery_paths	4339		-	-	-
finish_streaming_tts	4155		-	-	-
format_message	6681		5357	7600	3550
format_tool_event	3065		-	-	-
format_tool_preview	3114		1005	-	-
get_chat_info	6671	A	5235	7566	4265
get_pending_message	6577		-	-	-
handle_message	5554		-	-	-
has_fatal_error	3124		-	-	-
has_pending_interrupt	6573		-	-	-
interrupt_session_activity	4808		-	-	-
is_connected	3298		-	-	-
max_message_length_for_chat	2859		-	-	-
message_len_fn	2851		-	699	-
message_len_fn_for_chat	2874		-	-	-
name	3293		-	-	-
on_processing_complete	4928		2980	9852	3759
on_processing_start	4925		2968	9843	3746
pause_typing_for_chat	4796		-	-	-
play_tts	4108		3749	-	-
pop_post_delivery_callback	4888		-	-	-
prefers_fresh_final_streaming	2962		-	1708	-
prepare_tts_text	4091		-	-	-
register_post_delivery_callback	4819		-	-	-
render_message_event	3044		-	-	-
resume_typing_for_chat	4804		-	-	-
send	3496	A	3027	4432	2439
send_animation	3991		5064	7433	-
send_clarify	3780		7188	5566	6535
send_document	4232		5153	7226	4197
send_draft	3002		-	5261	-
send_image	3972		4982	7332	4036
send_image_file	4305		4965	7132	4005
send_multiple_images	3915		3619	6996	3214
send_private_notice	3854		-	-	2623
send_slash_confirm	3745		7144	5518	6454
send_typing	3874		5171	7524	2849
send_video	4205		5136	7281	4133
send_voice	4062		3767	6845	4106
set_authorization_check	3368		-	-	-
set_busy_session_handler	3345		-	-	-
set_fatal_error_handler	3154		-	-	-
set_message_handler	3302		-	-	-
set_reaction_handler	3349		-	-	-
set_session_store	3406		-	-	-
set_status_text	2658		-	-	-
set_topic_recovery_fn	3311		-	-	-
stop_typing	3883		5225	-	2946
streaming_overflow_limit	2985		-	1723	-
strip_media_directives_for_display	4574		-	-	-
supports_draft_streaming	2943		-	5242	-
supports_streaming_tts	4130		-	-	-
truncate_message	6693		-	-	-
validate_media_delivery_path	4334		-	-	-
write_streaming_tts	4151		-	-	-
