hook	in_base	discord	telegram	slack	first_probe_site	probe_sites
FALLBACK_ON_FINAL_EDIT_FLOOD	N	-	Y	-	gateway/stream_consumer.py:2320	1
MAX_MESSAGE_LENGTH	N	Y	Y	Y	gateway/run.py:3983	3
REQUIRES_EDIT_FINALIZE	Y	-	Y	-	gateway/run.py:4026	2
RESEND_FINAL_ON_EMPTY_STREAM_FALLBACK	N	-	Y	-	gateway/stream_consumer.py:1377	1
SUPPORTS_MESSAGE_EDITING	N	-	-	-	gateway/run.py:23795	1
__dict__	N	-	-	-	gateway/stream_consumer.py:2188	1
_active_sessions	Y	-	-	-	gateway/run.py:23059	2
_api_key	N	-	-	-	gateway/wake.py:115	1
_auto_tts_disabled_chats	Y	-	-	-	gateway/run.py:6393	3
_auto_tts_enabled_chats	Y	-	-	-	gateway/run.py:6411	3
_bot	N	-	Y	-	gateway/run.py:19697	3
_client	N	Y	-	-	gateway/channel_directory.py:219	1
_create_dm_topic	N	-	Y	-	gateway/run.py:19729	1
_dm_policy	N	-	-	-	gateway/authz_mixin.py:270	1
_group_policy	N	-	-	-	gateway/authz_mixin.py:305	1
_groups	N	-	-	-	gateway/authz_mixin.py:337	1
_host	N	-	-	-	gateway/wake.py:110	1
_is_dm_allowed	N	-	-	-	gateway/authz_mixin.py:668	1
_mark_streaming_tts_completed_turn	Y	-	-	-	gateway/run.py:25471	1
_matrix_session_scope	N	-	-	-	gateway/slash_commands.py:694	1
_model_name	N	-	-	-	gateway/wake.py:131	1
_pending_messages	Y	-	-	-	gateway/run.py:7695	6
_port	N	-	-	-	gateway/wake.py:114	1
_resolve_channel_prompt	N	Y	-	-	gateway/run.py:19174	1
_send_session	N	-	-	-	gateway/platforms/weixin.py:2348	1
_session_store	Y	-	-	-	gateway/platforms/yuanbao.py:1169	5
_session_tasks	Y	-	-	-	gateway/run.py:10216	1
_sidecar_bind	N	-	-	-	gateway/run.py:13653	1
_sidecar_port	N	-	-	-	gateway/run.py:13654	1
_team_clients	N	-	-	Y	gateway/channel_directory.py:305	1
_voice_sources	N	Y	-	-	gateway/run.py:19130	1
active_agent_work_count	N	-	-	-	gateway/run.py:7418	1
auth_hint	N	-	-	-	hermes_cli/proxy/cli.py:45	1
authorization_is_upstream	Y	-	-	-	gateway/authz_mixin.py:216	1
auto_thread_info_for_chat	N	-	-	-	gateway/run.py:19856	1
config	Y	-	-	-	gateway/authz_mixin.py:681	5
delete_message	Y	-	Y	Y	gateway/stream_consumer.py:1601	4
dispatch_http_event	N	-	-	-	gateway/platforms/api_server.py:1832	1
enforces_own_access_policy	Y	-	-	-	gateway/authz_mixin.py:244	1
ensure_dm_topic	N	-	Y	-	gateway/delivery.py:572	2
fatal_error_retryable	Y	-	-	-	gateway/run.py:13479	1
go_dormant	N	-	-	-	gateway/run.py:7641	1
has_fatal_error	Y	-	-	-	gateway/run.py:13478	1
list_channels	N	-	-	-	gateway/channel_directory.py:154	1
name	Y	-	-	-	gateway/pairing.py:231	5
platform	Y	-	-	-	gateway/pairing.py:226	2
prefers_fresh_final_streaming	Y	-	Y	-	gateway/stream_consumer.py:1919	1
refresh_skill_group	N	Y	-	-	gateway/slash_commands.py:5274	1
rename_dm_topic	N	-	Y	-	gateway/run.py:20082	1
rename_thread	N	Y	-	-	gateway/run.py:19922	1
send_or_update_status	N	-	Y	Y	gateway/run.py:777	1
set_reaction_handler	Y	-	-	-	gateway/run.py:13411	3
splits_long_messages	Y	Y	Y	Y	gateway/delivery.py:503	1
supports_async_delivery	Y	-	-	-	gateway/run.py:21352	2
truncate_message	Y	-	-	-	gateway/stream_consumer.py:1343	1
typed_command_prefix	Y	-	-	Y	gateway/run.py:21007	2
verify_http_event_request	N	-	-	-	gateway/platforms/api_server.py:1831	1
