== plugins/platforms/discord/adapter.py:9896 _apply_yaml_config  yaml_keys=21 env_writes=16
   yaml	allow_all_users	plugins/platforms/discord/adapter.py:9965
   yaml	allow_from	plugins/platforms/discord/adapter.py:9945
   yaml	allow_mentions	plugins/platforms/discord/adapter.py:10028
   yaml	allowed_channels	plugins/platforms/discord/adapter.py:10001
   yaml	allowed_roles	plugins/platforms/discord/adapter.py:9955
   yaml	approval_mentions	plugins/platforms/discord/adapter.py:9973
   yaml	auto_thread	plugins/platforms/discord/adapter.py:9985
   yaml	bots_require_inline_mention	plugins/platforms/discord/adapter.py:9926
   yaml	discord	plugins/platforms/discord/adapter.py:9931
   yaml	extra	plugins/platforms/discord/adapter.py:10048
   yaml	free_response_channels	plugins/platforms/discord/adapter.py:9978
   yaml	history_backfill	plugins/platforms/discord/adapter.py:10019
   yaml	history_backfill_limit	plugins/platforms/discord/adapter.py:10021
   yaml	ignored_channels	plugins/platforms/discord/adapter.py:9993
   yaml	missed_message_backfill	plugins/platforms/discord/adapter.py:9989
   yaml	no_thread_channels	plugins/platforms/discord/adapter.py:10009
   yaml	platforms	plugins/platforms/discord/adapter.py:9928
   yaml	reactions	plugins/platforms/discord/adapter.py:9987
   yaml	reply_to_mode	plugins/platforms/discord/adapter.py:10042
   yaml	require_mention	plugins/platforms/discord/adapter.py:9922
   yaml	thread_require_mention	plugins/platforms/discord/adapter.py:9924
   env 	DISCORD_ALLOWED_CHANNELS	plugins/platforms/discord/adapter.py:10007
   env 	DISCORD_ALLOWED_ROLES	plugins/platforms/discord/adapter.py:9963
   env 	DISCORD_ALLOWED_USERS	plugins/platforms/discord/adapter.py:9953
   env 	DISCORD_ALLOW_ALL_USERS	plugins/platforms/discord/adapter.py:9971
   env 	DISCORD_APPROVAL_MENTIONS	plugins/platforms/discord/adapter.py:9977
   env 	DISCORD_AUTO_THREAD	plugins/platforms/discord/adapter.py:9986
   env 	DISCORD_BOTS_REQUIRE_INLINE_MENTION	plugins/platforms/discord/adapter.py:9927
   env 	DISCORD_FREE_RESPONSE_CHANNELS	plugins/platforms/discord/adapter.py:9984
   env 	DISCORD_HISTORY_BACKFILL	plugins/platforms/discord/adapter.py:10020
   env 	DISCORD_HISTORY_BACKFILL_LIMIT	plugins/platforms/discord/adapter.py:10023
   env 	DISCORD_IGNORED_CHANNELS	plugins/platforms/discord/adapter.py:9999
   env 	DISCORD_NO_THREAD_CHANNELS	plugins/platforms/discord/adapter.py:10015
   env 	DISCORD_REACTIONS	plugins/platforms/discord/adapter.py:9988
   env 	DISCORD_REPLY_TO_MODE	plugins/platforms/discord/adapter.py:10047
   env 	DISCORD_REQUIRE_MENTION	plugins/platforms/discord/adapter.py:9923
   env 	DISCORD_THREAD_REQUIRE_MENTION	plugins/platforms/discord/adapter.py:9925
== plugins/platforms/telegram/adapter.py:9999 _apply_yaml_config  yaml_keys=19 env_writes=17
   yaml	allow_bots	plugins/platforms/telegram/adapter.py:10033
   yaml	allow_from	plugins/platforms/telegram/adapter.py:10087
   yaml	allowed_chats	plugins/platforms/telegram/adapter.py:10052
   yaml	allowed_topics	plugins/platforms/telegram/adapter.py:10061
   yaml	disable_topic_auto_rename	plugins/platforms/telegram/adapter.py:10023
   yaml	exclusive_bot_mentions	plugins/platforms/telegram/adapter.py:10031
   yaml	extra	plugins/platforms/telegram/adapter.py:10079
   yaml	free_response_chats	plugins/platforms/telegram/adapter.py:10039
   yaml	free_response_topics	plugins/platforms/telegram/adapter.py:10046
   yaml	group_allow_from	plugins/platforms/telegram/adapter.py:10093
   yaml	group_allowed_chats	plugins/platforms/telegram/adapter.py:10099
   yaml	guest_mode	plugins/platforms/telegram/adapter.py:10035
   yaml	ignored_threads	plugins/platforms/telegram/adapter.py:10068
   yaml	mention_patterns	plugins/platforms/telegram/adapter.py:10029
   yaml	observe_unmentioned_group_messages	plugins/platforms/telegram/adapter.py:10037
   yaml	proxy_url	plugins/platforms/telegram/adapter.py:10077
   yaml	reactions	plugins/platforms/telegram/adapter.py:10075
   yaml	reply_to_mode	plugins/platforms/telegram/adapter.py:10081
   yaml	require_mention	plugins/platforms/telegram/adapter.py:10026
   env 	TELEGRAM_ALLOWED_CHATS	plugins/platforms/telegram/adapter.py:10060
   env 	TELEGRAM_ALLOWED_TOPICS	plugins/platforms/telegram/adapter.py:10067
   env 	TELEGRAM_ALLOWED_USERS	plugins/platforms/telegram/adapter.py:10092
