platform	member	kind	form	lineno
dingtalk	REQUIRES_EDIT_FINALIZE	PLUGIN-ONLY	property	225
dingtalk	SUPPORTS_MESSAGE_EDITING	PLUGIN-ONLY	property	216
dingtalk	__init__	OVERRIDE	def	233
dingtalk	_close_streaming_siblings	PLUGIN-ONLY	async def	570
dingtalk	_compile_mention_patterns	PLUGIN-ONLY	def	471
dingtalk	_create_and_stream_card	PLUGIN-ONLY	async def	1181
dingtalk	_dingtalk_allowed_chats	PLUGIN-ONLY	def	457
dingtalk	_dingtalk_free_response_chats	PLUGIN-ONLY	def	449
dingtalk	_dingtalk_require_mention	PLUGIN-ONLY	def	440
dingtalk	_extract_media	PLUGIN-ONLY	def	878
dingtalk	_extract_text	PLUGIN-ONLY	staticmethod	748
dingtalk	_fetch_download_url	PLUGIN-ONLY	async def	1505
dingtalk	_fire_done_reaction	PLUGIN-ONLY	def	600
dingtalk	_get_access_token	PLUGIN-ONLY	async def	1375
dingtalk	_get_valid_webhook	PLUGIN-ONLY	def	1165
dingtalk	_is_user_allowed	PLUGIN-ONLY	def	514
dingtalk	_load_allowed_users	PLUGIN-ONLY	def	499
dingtalk	_message_matches_mention_patterns	PLUGIN-ONLY	def	529
dingtalk	_message_mentions_bot	PLUGIN-ONLY	def	521
dingtalk	_normalize_markdown	PLUGIN-ONLY	staticmethod	1545
dingtalk	_on_message	PLUGIN-ONLY	async def	629
dingtalk	_resolve_media_codes	PLUGIN-ONLY	async def	1458
dingtalk	_run_stream	PLUGIN-ONLY	async def	353
dingtalk	_send_emotion	PLUGIN-ONLY	async def	1387
dingtalk	_should_process_message	PLUGIN-ONLY	def	534
dingtalk	_spawn_bg	PLUGIN-ONLY	def	562
dingtalk	_stream_card_content	PLUGIN-ONLY	async def	1348
dingtalk	connect	IMPL-ABSTRACT	async def	287
dingtalk	disconnect	IMPL-ABSTRACT	async def	375
dingtalk	edit_message	OVERRIDE	async def	1301
dingtalk	get_chat_info	IMPL-ABSTRACT	async def	1158
dingtalk	send	IMPL-ABSTRACT	async def	985
dingtalk	send_document	OVERRIDE	async def	1139
dingtalk	send_image	OVERRIDE	async def	1097
dingtalk	send_image_file	OVERRIDE	async def	1121
dingtalk	send_typing	OVERRIDE	async def	1093
feishu	__init__	OVERRIDE	def	1482
feishu	_add_reaction	PLUGIN-ONLY	async def	3141
feishu	_admit	PLUGIN-ONLY	def	4327
feishu	_allow_group_message	PLUGIN-ONLY	def	4382
feishu	_apply_settings	PLUGIN-ONLY	def	1646
feishu	_bot_identity	PLUGIN-ONLY	def	4469
feishu	_build_create_message_body	PLUGIN-ONLY	staticmethod	5139
feishu	_build_create_message_request	PLUGIN-ONLY	staticmethod	5157
feishu	_build_event_handler	PLUGIN-ONLY	def	1677
feishu	_build_file_upload_body	PLUGIN-ONLY	staticmethod	5185
feishu	_build_file_upload_request	PLUGIN-ONLY	staticmethod	5199
feishu	_build_get_application_request	PLUGIN-ONLY	staticmethod	5077
feishu	_build_get_chat_request	PLUGIN-ONLY	staticmethod	5053
feishu	_build_get_message_request	PLUGIN-ONLY	staticmethod	5059
feishu	_build_image_upload_body	PLUGIN-ONLY	staticmethod	5168
feishu	_build_image_upload_request	PLUGIN-ONLY	staticmethod	5179
feishu	_build_lark_client	PLUGIN-ONLY	def	4960
feishu	_build_media_post_payload	PLUGIN-ONLY	def	5207
feishu	_build_message_resource_request	PLUGIN-ONLY	staticmethod	5065
feishu	_build_outbound_payload	PLUGIN-ONLY	def	4620
feishu	_build_post_payload	PLUGIN-ONLY	def	5204
feishu	_build_reply_message_body	PLUGIN-ONLY	staticmethod	5088
feishu	_build_reply_message_request	PLUGIN-ONLY	staticmethod	5106
feishu	_build_resolved_approval_card	PLUGIN-ONLY	staticmethod	2179
feishu	_build_resolved_update_prompt_card	PLUGIN-ONLY	staticmethod	2198
feishu	_build_update_message_body	PLUGIN-ONLY	staticmethod	5117
feishu	_build_update_message_request	PLUGIN-ONLY	staticmethod	5128
feishu	_build_update_prompt_card	PLUGIN-ONLY	staticmethod	2111
feishu	_cancel_pending_tasks	PLUGIN-ONLY	async def	1892
feishu	_check_webhook_rate_limit	PLUGIN-ONLY	def	3666
feishu	_clear_webhook_anomaly	PLUGIN-ONLY	def	3282
feishu	_connect_webhook	PLUGIN-ONLY	async def	4941
feishu	_connect_websocket	PLUGIN-ONLY	async def	4909
feishu	_connect_with_retry	PLUGIN-ONLY	async def	4884
feishu	_default_image_media_type	PLUGIN-ONLY	staticmethod	4310
feishu	_derive_remote_filename	PLUGIN-ONLY	staticmethod	3521
feishu	_disable_websocket_auto_reconnect	PLUGIN-ONLY	def	1905
feishu	_dispatch_inbound_event	PLUGIN-ONLY	async def	3384
feishu	_display_name_from_cached_path	PLUGIN-ONLY	staticmethod	4088
feishu	_download_feishu_image	PLUGIN-ONLY	async def	3939
feishu	_download_feishu_message_resource	PLUGIN-ONLY	async def	3970
feishu	_download_feishu_message_resources	PLUGIN-ONLY	async def	3859
feishu	_download_remote_document	PLUGIN-ONLY	async def	3475
feishu	_download_remote_image	PLUGIN-ONLY	async def	3471
feishu	_drain_pending_inbound_events	PLUGIN-ONLY	def	2504
feishu	_enqueue_media_event	PLUGIN-ONLY	async def	3423
feishu	_enqueue_pending_inbound_event	PLUGIN-ONLY	def	2469
feishu	_enqueue_text_event	PLUGIN-ONLY	async def	3731
feishu	_extract_message_content	PLUGIN-ONLY	async def	3827
feishu	_extract_response_field	PLUGIN-ONLY	staticmethod	4852
feishu	_extract_text_from_raw_content	PLUGIN-ONLY	def	4291
feishu	_feishu_send_with_retry	PLUGIN-ONLY	async def	4970
feishu	_fetch_bot_names	PLUGIN-ONLY	async def	4229
feishu	_fetch_last_message_in_thread	PLUGIN-ONLY	async def	4772
feishu	_fetch_message_text	PLUGIN-ONLY	async def	4258
feishu	_finalize_send_result	PLUGIN-ONLY	def	4871
feishu	_flush_media_batch	PLUGIN-ONLY	async def	3451
feishu	_flush_media_batch_now	PLUGIN-ONLY	async def	3460
feishu	_flush_text_batch	PLUGIN-ONLY	async def	3788
feishu	_flush_text_batch_now	PLUGIN-ONLY	async def	3810
feishu	_get_audio_duration_ms	PLUGIN-ONLY	staticmethod	4640
feishu	_get_cached_sender_name	PLUGIN-ONLY	def	4161
feishu	_get_chat_lock	PLUGIN-ONLY	def	3097
feishu	_get_response_header	PLUGIN-ONLY	staticmethod	4062
feishu	_get_sdk_executor	PLUGIN-ONLY	def	1709
feishu	_guess_document_media_type	PLUGIN-ONLY	staticmethod	4083
feishu	_guess_extension	PLUGIN-ONLY	staticmethod	4068
feishu	_guess_media_type_from_filename	PLUGIN-ONLY	staticmethod	4095
feishu	_guess_remote_extension	PLUGIN-ONLY	staticmethod	3516
feishu	_handle_approval_card_action	PLUGIN-ONLY	def	2761
feishu	_handle_card_action_event	PLUGIN-ONLY	async def	3042
feishu	_handle_message_event_data	PLUGIN-ONLY	async def	2583
feishu	_handle_message_with_guards	PLUGIN-ONLY	async def	3122
feishu	_handle_reaction_event	PLUGIN-ONLY	async def	2969
