platform	block	env	subfields	py_prod	py_test	docs	first_py_prod
dingtalk	requires_env	DINGTALK_CLIENT_ID	name,description,prompt,url,password	17	2	8	gateway/config.py
dingtalk	requires_env	DINGTALK_CLIENT_SECRET	name,description,prompt,url,password	14	4	8	gateway/config.py
dingtalk	optional_env	DINGTALK_WEBHOOK_URL	name,description,prompt,password	3	1	1	plugins/platforms/dingtalk/adapter.py
dingtalk	optional_env	DINGTALK_ALLOWED_USERS	name,description,prompt,password	9	7	18	gateway/pairing.py
dingtalk	optional_env	DINGTALK_HOME_CHANNEL	name,description,prompt,password	4	1	3	gateway/config.py
dingtalk	optional_env	DINGTALK_HOME_CHANNEL_NAME	name,description,prompt,password	2	1	1	gateway/config.py
feishu	requires_env	FEISHU_APP_ID	name,description,prompt,url,password	12	4	8	gateway/config.py
feishu	requires_env	FEISHU_APP_SECRET	name,description,prompt,url,password	10	14	10	gateway/config.py
feishu	optional_env	FEISHU_DOMAIN	name,description,prompt,password	11	1	8	gateway/config.py
feishu	optional_env	FEISHU_ALLOWED_USERS	name,description,prompt,password	11	8	16	gateway/pairing.py
feishu	optional_env	FEISHU_ALLOW_ALL_USERS	name,description,prompt,password	7	6	1	gateway/authz_mixin.py
feishu	optional_env	FEISHU_HOME_CHANNEL	name,description,prompt,password	7	5	8	gateway/config.py
feishu	optional_env	FEISHU_HOME_CHANNEL_NAME	name,description,prompt,password	2	1	1	gateway/config.py
google_chat	requires_env	GOOGLE_CHAT_SERVICE_ACCOUNT_JSON	name,description,prompt,password	9	4	6	plugins/platforms/google_chat/adapter.py
google_chat	optional_env	GOOGLE_CHAT_HTTP_EVENTS_URL	name,description,prompt,password	4	1	2	plugins/platforms/google_chat/adapter.py
google_chat	optional_env	GOOGLE_CHAT_HTTP_EVENTS_AUDIENCE	name,description,prompt,password	2	1	1	plugins/platforms/google_chat/adapter.py
google_chat	optional_env	GOOGLE_CHAT_HTTP_EVENTS_SERVICE_ACCOUNT_EMAIL	name,description,prompt,password	2	1	1	plugins/platforms/google_chat/adapter.py
google_chat	optional_env	GOOGLE_CHAT_PROJECT_ID	name,description,prompt,url,password	8	3	4	plugins/platforms/google_chat/adapter.py
google_chat	optional_env	GOOGLE_CHAT_SUBSCRIPTION_NAME	name,description,prompt,password	9	2	4	plugins/platforms/google_chat/adapter.py
google_chat	optional_env	GOOGLE_CHAT_ALLOWED_USERS	name,description,prompt,password	6	4	4	plugins/platforms/google_chat/adapter.py
google_chat	optional_env	GOOGLE_CHAT_HOME_CHANNEL	name,description,prompt,password	5	2	4	plugins/platforms/google_chat/adapter.py
matrix	requires_env	MATRIX_HOMESERVER	name,description,prompt,password	16	11	10	gateway/config.py
matrix	requires_env	MATRIX_ACCESS_TOKEN	name,description,prompt,password	18	17	12	gateway/config.py
matrix	optional_env	MATRIX_PASSWORD	name,description,prompt,password	14	4	6	gateway/config.py
matrix	optional_env	MATRIX_ALLOWED_USERS	name,description,prompt,password	13	8	28	gateway/pairing.py
matrix	optional_env	MATRIX_ALLOW_ALL_USERS	name,description,prompt,password	3	2	1	gateway/authz_mixin.py
matrix	optional_env	MATRIX_HOME_CHANNEL	name,description,prompt,password	0	1	1	-
matrix	optional_env	MATRIX_HOME_CHANNEL_NAME	name,description,prompt,password	0	1	1	-
wecom	requires_env	WECOM_BOT_ID	name,description,prompt,password	14	0	8	gateway/config.py
wecom	requires_env	WECOM_SECRET	name,description,prompt,password	11	2	8	gateway/config.py
wecom	optional_env	WECOM_WEBSOCKET_URL	name,description,prompt,password	2	0	4	gateway/config.py
wecom	optional_env	WECOM_HOME_CHANNEL	name,description,prompt,password	7	5	6	gateway/config.py
wecom	optional_env	WECOM_ALLOWED_USERS	name,description,prompt,password	8	7	8	gateway/pairing.py
wecom	optional_env	WECOM_CALLBACK_CORP_ID	name,description,prompt,password	8	0	4	gateway/config.py
wecom	optional_env	WECOM_CALLBACK_CORP_SECRET	name,description,prompt,password	6	1	4	gateway/config.py
wecom	optional_env	WECOM_CALLBACK_AGENT_ID	name,description,prompt,password	5	0	4	gateway/config.py
wecom	optional_env	WECOM_CALLBACK_TOKEN	name,description,prompt,password	4	1	4	gateway/config.py
wecom	optional_env	WECOM_CALLBACK_ENCODING_AES_KEY	name,description,prompt,password	4	1	4	gateway/config.py
TOTAL	38
