platform       yaml  reg  agree yaml_only | registry_only
photon            2    2  Y     (none) | (none)
a2a               0    0  Y     (none) | (none)
whatsapp          1    1  Y     (none) | (none)
line              2    2  Y     (none) | (none)
buzz              2    2  Y     (none) | (none)
teams             3    3  Y     (none) | (none)
simplex           1    1  Y     (none) | (none)
mattermost        2    2  Y     (none) | (none)
email             3    3  Y     (none) | (none)
irc               3    3  Y     (none) | (none)
raft              1    1  Y     (none) | (none)
ntfy              1    1  Y     (none) | (none)
homeassistant     1    1  Y     (none) | (none)
sms               3    3  Y     (none) | (none)
